Name,Series,Description,Author,Age,Rating_out_of_5,No_of_Ratings,Price,Price_Befor,Cover_Type,Publication_Date,Product_Details,Best_Seller,Link
Trapped in a Video Game: The Invisible Invasion (Volume 2),Book 2 of 5: Trapped in a Video Game,"
Kids who love video games will love this second installment in the new 5-book series about 12-year old Jesse Rigsby and the wild adventures he encounters inside different video games.Age Level: 8-12  Grade Level: 3rd and upAfter Full Blast, Jesse Rigsby and his friend Eric has sworn off video games. But when Jesse is offered the chance to save his friend Mark, of course he says, ""Yes."" Problem is, Jesse is invisible now, sucked into the world of Go Wild—a Pokémon Go–style mobile game. To reach Mark, Jesse's going to have to shake the Bigfoot chasing him through the school library, survive the velociraptor in the bathroom, and battle the ginormous flame-throwing bat in the cafeteria. Can Jesse stay alive long enough to solve the mystery of what happened to Mark?

",Dustin Brady,Ages: 8 - 12 years,4.8,2.079,$9.79,$7.99,Paperback,2018-04-24,"



Product details





Publisher
:

Andrews McMeel Publishing; Illustrated edition (April 24, 2018)


Language
:

English


Paperback
:

160 pages


ISBN-10
:

1449494897


ISBN-13
:

978-1449494896


Reading age
:

8 - 12 years


Lexile measure
:

600L


Grade level
:

3 - 7


Item Weight
:

9.3 ounces


Dimensions
:

5.9 x 0.5 x 9 inches






Best Sellers Rank:

#2,296 in Books (See Top 100 in Books)

 #2 in Children's Programming Books
 #4 in Programming Languages (Books)
 #7 in Computers & Internet Humor






Customer Reviews:







4.8 out of 5 stars








2,079 ratings












",,https://www.amazon.com/Trapped-Video-Game-Book-Invisible/dp/1449494897/ref=sr_1_698?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-698
Five-minute Stories: Over 50 Tales and Fables,,"
There is always time to read together with this deluxe treasure-trove of five-minute stories, fables, and well-loved fairy tales. There are over 50 easy-to-read stories to enjoy in this enchanting collection - and each one fits perfectly into the beginning, middle or end of a very busy day! This beautiful story-time treasury brings together the talents of illustrators from around the world, with well-loved tales including Aladdin, The Boy Who Cried Wolf, Cinderella, Pinocchio, Puss in Boots, Rapunzel, Sleeping Beauty, The Three Little Pigs, and many more.  Quick and short stories read aloud in around five minutes. Allows adults to adjust how many stories and how much time to spend reading every day Bond with your child through family storytime and strengthen a love for books and reading Favorite classics bring imagination and creativity to storytime. Rich and vivid illustrations and beautifully written tales will bring a smile from ear to ear Over 50 tales and fables including Jack and the Beanstalk, The Ugly Duckling, Little Red Hen, The Lion and the Mouse, Tom Thumb, and more Collect all titles available in the padded treasury book collection. 

",Cottage Door Press,Ages: 3 - 7 years,4.8,2.615,$11.69,$12.99,Hardcover,2018-10-02,"



Product details





Publisher
:

Cottage Door Press; Illustrated edition (September 24, 2018)


Language
:

English


Hardcover
:

384 pages


ISBN-10
:

1680524062


ISBN-13
:

978-1680524062


Reading age
:

3 - 7 years


Grade level
:

Preschool - 2


Item Weight
:

2.1 pounds


Dimensions
:

6.4 x 1.3 x 8 inches






Best Sellers Rank:

#3,275 in Books (See Top 100 in Books)

 #3 in Children's Christian Bedtime Fiction
 #5 in Children's Short Story Collections
 #97 in Children's Folk Tales & Myths (Books)






Customer Reviews:







4.8 out of 5 stars








2,615 ratings












",,https://www.amazon.com/Five-minute-Stories-Over-Tales-Fables/dp/1680524062/ref=sr_1_699?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-699
The Story Of Ruby Bridges: Special Anniversary Edition,,"
The inspirational true story of Ruby Bridges.The year is 1960, and six-year-old Ruby Bridges and her family have recently moved from Mississippi to New Orleans in search of a better life. When a judge orders Ruby to attend first grade at William Frantz Elementary, an all-white school, Ruby must face angry mobs of parents who refuse to send their children to school with her. Told with Robert Coles' powerful narrative and dramatically illustrated by George Ford, Ruby's story of courage, faith, and hope continues to resonate more than 60 years later.

",Robert Coles,Ages: 4 - 8 years,4.8,1.0270000000000001,$3.99,$7.99,Paperback,2010-09-01,"



Product details





Publisher
:

Scholastic Paperbacks; Special Anniversary ed. edition (September 1, 2010)


Language
:

English


Paperback
:

32 pages


ISBN-10
:

0439472261


ISBN-13
:

978-0439472265


Reading age
:

4 - 8 years


Lexile measure
:

AD730L


Grade level
:

Preschool - 3


Item Weight
:

4 ounces


Dimensions
:

9.8 x 7 x 0.2 inches






Best Sellers Rank:

#1,363 in Books (See Top 100 in Books)

 #4 in Children's Historical Biographies (Books)
 #4 in Children's Social Activists Biographies (Books)
 #11 in Children's Prejudice & Racism Books






Customer Reviews:







4.8 out of 5 stars








1,027 ratings












",,https://www.amazon.com/Story-Ruby-Bridges-Special-Anniversary/dp/0439472261/ref=sr_1_700?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-700
"Number Tracing book for Preschoolers: Preschool Numbers Tracing Math Practice Workbook: Math Activity Book for Pre K, Kindergarten and Kids Ages 3-5 (Pre K Workbooks)",,"
This Number Tracing book helps kids of all ages to start learning numbers and number words and to improve their handwriting. It progressively builds confidence in writing numbers starting with: Step 1: Trace and practice lines and curves Step 2: Learn Tracing Numbers  Step 3: Number Practice and finger counting  Step 4: Writing Numbers 1-20  Step 5: Learning to write Number Words  Step 6: Learning to Count   Step 7: Learning Simple AdditionWith 100+ pages of practice, your child will develop the motor control for writing numbers well while also learning to recognize each number.Your kids will learn to write numbers, count with their fingers, spell the numbers in words and become a champ at doing math sums (simple additions) by the time they finish this workbook.This Number Tracing Book for Preschoolers is a fun way to learn to write numbers with complete step-by-step instructions. Based on modern learning techniques this number tracing book is the perfect starting book for kids. The Book comes with:A bonus coloring section at the beginning of each number to encourage and engage children as they build skills progressively.Premium cover designLarge size - 8.5"" x 11""Buy today, to help your child take their first step confidently into the fun world of numbers.

",Sujatha Lalgudi,,4.8,1.003,$5.95,,Paperback,2019-09-12,"



Product details





Publisher
:

Independently published (September 12, 2019)


Language
:

English


Paperback
:

109 pages


ISBN-10
:

1692814761


ISBN-13
:

978-1692814762


Item Weight
:

9.6 ounces


Dimensions
:

8.5 x 0.25 x 11 inches






Best Sellers Rank:

#1,508 in Books (See Top 100 in Books)

 #1 in Checkers Game
 #13 in Children's Handwriting Books
 #21 in Early Childhood Education






Customer Reviews:







4.8 out of 5 stars








1,003 ratings












",in Checkers Game,https://www.amazon.com/Number-Tracing-book-Preschoolers-Kindergarten/dp/1692814761/ref=sr_1_701?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-701
My Favorite Berenstain Bears Stories: Learning to Read Box Set (I Can Read Level 1),,"
Five fun I Can Read adventures in one sturdy box!With a plastic carry-along handle and Velcro closure, this Berenstain Bears box set of Level 1 I Can Reads is packed with entertaining, easy-to-read stories. Follow the Bear family as they have their first sleepover, take a trip to the aquarium, go out West, and more.Great for young readers who are on the go too, whether on vacation trips or back and forth to camp or school.The collection includes the following five classic Level One I Can Read books:·         The Berenstain Bears’ Sleepover·         The Berenstain Bears’ New Pup·         The Berenstain Bears Out West·         The Berenstain Bears at the Aquarium·         The Berenstain Bears and the Shaggy Little PonyAll of the books in this set are Level One I Can Read books, which means they are perfect for children learning to sound out words and sentences. Whether shared at home or in a classroom, the short sentences, familiar words, and simple concepts of Level One books support success for children eager to start reading on their own.

",Stan Berenstain,Ages: 4 - 8 years,4.8,1.121,$18.49,$19.99,Paperback,2018-09-04,"



Product details





Publisher
:

HarperCollins; Box edition (September 4, 2018)


Language
:

English


Paperback
:

160 pages


ISBN-10
:

0062654594


ISBN-13
:

978-0062654595


Reading age
:

4 - 8 years


Grade level
:

Preschool - 3


Item Weight
:

1.05 pounds


Dimensions
:

6.4 x 1.6 x 9.5 inches






Best Sellers Rank:

#11,304 in Books (See Top 100 in Books)

 #90 in Children's Bear Books (Books)
 #276 in Children's Beginner Readers
 #624 in Children's Family Life Books (Books)






Customer Reviews:







4.8 out of 5 stars








1,121 ratings












",,https://www.amazon.com/My-Favorite-Berenstain-Bears-Stories/dp/0062654594/ref=sr_1_702?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-702
The War That Saved My Life,Book 1 of 2: The War That Saved My Life Series,"
*Newbery Honor book*Winner of the Schneider Family Book Award This #1 New York Times bestseller is an exceptionally moving story of triumph against all odds set during World War II, from the acclaimed author of Fighting Words, and for fans of Fish in a Tree and Sarah, Plain and Tall.  Ten-year-old Ada has never left her one-room apartment. Her mother is too humiliated by Ada’s twisted foot to let her outside. So when her little brother Jamie is shipped out of London to escape the war, Ada doesn’t waste a minute—she sneaks out to join him.   So begins a new adventure for Ada, and for Susan Smith, the woman who is forced to take the two kids in. As Ada teaches herself to ride a pony, learns to read, and watches for German spies, she begins to trust Susan—and Susan begins to love Ada and Jamie. But in the end, will their bond be enough to hold them together through wartime? Or will Ada and her brother fall back into the cruel hands of their mother?""Achingly lovely...Nuanced and emotionally acute.""—The Wall Street Journal""Unforgettable...unflinching.""—Common Sense Media ★ “Brisk and honest...Cause for celebration.” —Kirkus, starred review★ ""Poignant.""—Publishers Weekly, starred review★ ""Powerful.""—The Horn Book, starred review""Affecting.""—Booklist""Emotionally satisfying...[A] page-turner.""—BCCB“Exquisitely written...Heart-lifting.” —SLJ""Astounding...This book is remarkable.""—Karen Cushman, author The Midwife's Apprentice""Beautifully told.""—Patricia MacLachlan, author of Sarah, Plain and Tall""I read this novel in two big gulps.""—Gary D. Schmidt, author of Okay for Now""I love Ada's bold heart...Her story's riveting.""—Sheila Turnage, author of Three Times Lucky

",Kimberly Brubaker Bradley,Ages: 9 - 12 years,4.8,2.577,$0.00,$28.00,Paperback,2016-05-31,"



Product details





Publisher
:

Puffin Books; Reprint edition (May 31, 2016)


Language
:

English


Paperback
:

352 pages


ISBN-10
:

0147510481


ISBN-13
:

978-0147510488


Reading age
:

9 - 12 years


Lexile measure
:

580L


Grade level
:

4 - 7


Item Weight
:

8 ounces


Dimensions
:

5.13 x 0.93 x 7.75 inches






Best Sellers Rank:

#2,620 in Books (See Top 100 in Books)

 #2 in Children's European Historical Fiction (Books)
 #3 in Children's Dysfunctional Relationships Books (Books)
 #3 in Children's Abuse Books






Customer Reviews:







4.8 out of 5 stars








2,577 ratings












",,https://www.amazon.com/War-That-Saved-My-Life/dp/0147510481/ref=sr_1_703?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-703
Beyond the Bright Sea,,"
- Winner of the 2018 Scott O'Dell Award for Historical Fiction - From the bestselling author of Echo Mountain and Newbery Honor–winner Wolf Hollow, Beyond the Bright Sea is an acclaimed best book of the year.An NPR Best Book of the Year • A Parents’ Magazine Best Book of the Year • A Booklist Editors' Choice selection • A BookPage Best Book of the Year • A Horn Book Fanfare Selection • A Kirkus Best Book of the Year • A School Library Journal Best Book of the Year • A Charlotte Observer Best Book of the Year • A Southern Living Best Book of the Year • A New York Public Library Best Book of the Year“The sight of a campfire on a distant island…proves the catalyst for a series of discoveries and events—some poignant, some frightening—that Ms. Wolk unfolds with uncommon grace.” –The Wall Street Journal★ “Crow is a determined and dynamic heroine.” —Publishers Weekly★ “Beautiful, evocative.” —Kirkus The moving story of an orphan, determined to know her own history, who discovers the true meaning of family. Twelve-year-old Crow has lived her entire life on a tiny, isolated piece of the starkly beautiful Elizabeth Islands in Massachusetts. Abandoned and set adrift in a small boat when she was just hours old, Crow’s only companions are Osh, the man who rescued and raised her, and Miss Maggie, their fierce and affectionate neighbor across the sandbar. Crow has always been curious about the world around her, but it isn’t until the night a mysterious fire appears across the water that the unspoken question of her own history forms in her heart. Soon, an unstoppable chain of events is triggered, leading Crow down a path of discovery and danger. Vivid and heart-wrenching, Lauren Wolk’s Beyond the Bright Sea is a gorgeously crafted and tensely paced tale that explores questions of identity, belonging, and the true meaning of family.

",Lauren Wolk,Ages: 10 years and up,4.7,1.474,$8.99,$28.00,Paperback,2018-09-18,"



Product details





ASIN
:

1101994878


Publisher
:

Puffin Books; Reprint edition (September 18, 2018)


Language
:

English


Paperback
:

320 pages


ISBN-10
:

9781101994870


ISBN-13
:

978-1101994870


Reading age
:

10 - 13 years


Lexile measure
:

770L


Grade level
:

5 - 6


Item Weight
:

8.3 ounces


Dimensions
:

5.06 x 0.83 x 7.75 inches






Best Sellers Rank:

#2,171 in Books (See Top 100 in Books)

 #7 in Children's 1900s American Historical Fiction
 #11 in Children's Orphans & Foster Homes Books (Books)
 #32 in Children's Girls & Women Books (Books)






Customer Reviews:







4.7 out of 5 stars








1,474 ratings












",,https://www.amazon.com/Beyond-Bright-Sea-Lauren-Wolk/dp/1101994878/ref=sr_1_704?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-704
How Do Dinosaurs Say Goodnight?,,"
How Do Dinosaurs Say Good Night?

",Jane Yolen,Ages: 4 - 8 years,4.9,2.636,$0.00,$1.95,Hardcover,2000-04-01,"



Product details





Publisher
:

Blue Sky Press; 1st edition (April 1, 2000)


Language
:

English


Hardcover
:

40 pages


ISBN-10
:

0590316818


ISBN-13
:

978-0590316811


Reading age
:

4 - 8 years


Lexile measure
:

AD350L


Grade level
:

Preschool - 3


Item Weight
:

1.1 pounds


Dimensions
:

9.1 x 0.4 x 12 inches






Best Sellers Rank:

#2,038 in Books (See Top 100 in Books)

 #14 in Children's Manners Books
 #16 in Children's Dinosaur Books (Books)
 #18 in Children's Sleep Issues






Customer Reviews:







4.9 out of 5 stars








2,636 ratings












",,https://www.amazon.com/How-Do-Dinosaurs-Say-Goodnight/dp/0590316818/ref=sr_1_705?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-705
My Little Library: Bible Stories (12 Board Books & 3 Downloadable Apps!),,"
This Little Grasshopper Books collection includes 12 board books with art based on traditional Bible stories.  The simple stories will delight babies and toddlers.Whimsical illustrations bring the stories to life.The small sturdy board books are great for little fingers! - 3x3 inches each.The books included are: David; Noah; Joseph; Daniel; Jonah; Moses; Bible Heroes; Thank You, God; My Father's World; Jesus Loves Me; Praise the Lord; and Good Night, God.For an extra layer of interactive learning and fun, the set is paired with digital content. Parents can download the Little Grasshopper Library app to smartphone or tablet, iPhone or Android, and then access three stories: David and Goliath, Joseph and His Colorful Coat, and Noah and the Ark.The keepsake box houses all 12 books until it's time to bring them out again!12 board books - 10 pages each

",Little Grasshopper Books,Ages: 0 - 5 years,4.7,693.0,$12.58,$13.98,Hardcover,2020-03-15,"



Product details





Publisher
:

Little Grasshopper Books; Illustrated edition (March 15, 2020)


Language
:

English


Hardcover
:

120 pages


ISBN-10
:

1640309969


ISBN-13
:

978-1640309968


Reading age
:

Baby - 5 years


Grade level
:

Preschool - Kindergarten


Item Weight
:

1.95 pounds


Dimensions
:

6.94 x 3.25 x 9.25 inches






Best Sellers Rank:

#2,404 in Books (See Top 100 in Books)

 #2 in Children's Bible Reference & Interpretation
 #2 in Children's Bible Study
 #20 in Children's Christian Fiction Books






Customer Reviews:







4.7 out of 5 stars








693 ratings












",,https://www.amazon.com/My-Little-Library-Stories-Downloadable/dp/1640309969/ref=sr_1_706?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-706
Harry Potter And The Goblet Of Fire,,"
It's the pivotal fourth novel in the seven-part saga of a young wizard's coming of age. The thickest. The juiciest yet. Harry Potter turns fourteen. But will all his friends? Rumors have persisted that one of the characters may not see the conclusion of this novel, something the author has refused either to confirm or deny. But we who love Ron, Hermione, Hagrid...even pitiful Neville Longbottom...wait anxiously to see if they will make it through safely. No one's fate is certain when Volde -- excuse me -- He-Who-Must-Not-Be-Named is part of the picture.What is certain is that a novel of excruciating suspense awaits, leavened by J. K. Rowling's inimitable sense of humor and the burgeoning details of her magical world. Whether it's taking a front-row seat at the International Quidditch World Cup, or meeting the new Defense-Against-the-Dark-Arts teacher, or finding out if Harry really does start a romance with Cho Chang, fans of the history-making boy-wizard will find their thirst for Hogwarts adventure slaked deliciously...at least for a little while!

",J.K. Rowling,Ages: 9 - 12 years,4.9,4.302,$14.84,$29.99,Hardcover,2000-07-08,"



Product details





Publisher
:

Scholastic Press (August 1, 2000)


Language
:

English


Hardcover
:

752 pages


ISBN-10
:

0439139597


ISBN-13
:

978-0439139595


Reading age
:

9 - 12 years


Lexile measure
:

880L


Grade level
:

4 - 7


Item Weight
:

2.47 pounds


Dimensions
:

6.4 x 2.3 x 9.1 inches






Best Sellers Rank:

#4,169 in Books (See Top 100 in Books)

 #17 in Children's Orphans & Foster Homes Books (Books)
 #81 in Children's School Issues
 #152 in Children's Friendship Books






Customer Reviews:







4.9 out of 5 stars








4,302 ratings












",,https://www.amazon.com/Harry-Potter-Goblet-Fire-Book/dp/0439139597/ref=sr_1_707?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-707
"Preschool Math Workbook: Number Tracing, Addition and Subtraction math workbook for toddlers ages 2-4 and pre k",,"
This Preschool Math workbook for toddlers is a fun and engaging book to help your child learn early math. It progressively builds confidence in math starting with Step 1 : Tracing numbers (1-10) Step 2 : Learning to countStep 3 : Pre K Math activities like matching numbers & number sequenceStep 4 : Directions & ManipulativesStep 5 : Simple AdditionStep 6 : Simple SubtractionWith 100+ pages of practice, your toddler will develop the motor control for writing and counting numbers well while also learning math.The Beginner Math Book comes with:A bonus coloring section at the beginning of each number to encourage and engage your child as they build skills progressively.There are ocean animals, magical unicorns, dragons, pets, flowers, fruits and toys to color!Premium cover designLarge size - 8.5"" x 11""Buy today, to help your child take their first step confidently into the fun world of math.

",Sujatha Lalgudi,Ages: 2 - 12 years,4.8,613.0,$5.95,,Paperback,2020-04-25,"



Product details





Publisher
:

Independently published (April 25, 2020)


Language
:

English


Paperback
:

109 pages


ISBN-10
:

1697668577


ISBN-13
:

978-1697668575


Reading age
:

2 - 12 years


Item Weight
:

9.6 ounces


Dimensions
:

8.5 x 0.25 x 11 inches






Best Sellers Rank:

#1,235 in Books (See Top 100 in Books)

 #1 in Popular & Elementary Pre-Calculus (Books)
 #1 in Number Theory (Books)
 #459 in Children's Books






Customer Reviews:







4.8 out of 5 stars








613 ratings












",in Number Theory,https://www.amazon.com/Preschool-Math-Workbook-Addition-Subtraction/dp/1697668577/ref=sr_1_708?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-708
Biscuit's Neighborhood: 5 Fun-Filled Stories in 1 Box! (My First I Can Read),,"
Biscuit, everyone’s favorite little yellow puppy, stars in a five-book I Can Read box-set with a handle and Velcro closure—perfect for fans of Clifford and Spot. Five fun-filled Biscuit My First I Can Read stories are now all together in one portable collection. Whether he’s playing with his favorite ball, helping feed pets, or visiting his local library—this puppy is always up for an adventure!Now young readers can take these tail-wagging adventures with them wherever they go. The books include d are:BiscuitBiscuit Plays Ball Biscuit Goes CampingBiscuit Feeds the Pets Biscuit Loves the Library

",Alyssa Satin Capucilli,Ages: 4 - 8 years,4.9,1.043,$9.99,,Paperback,2018-01-02,"



Product details





ASIN
:

006268826X


Publisher
:

HarperCollins; Illustrated edition (January 2, 2018)


Language
:

English


Paperback
:

160 pages


ISBN-10
:

9780062688262


ISBN-13
:

978-0062688262


Reading age
:

4 - 8 years


Grade level
:

Preschool - 3


Item Weight
:

9.5 ounces


Dimensions
:

6.2 x 1.3 x 9.3 inches






Best Sellers Rank:

#2,796 in Books (See Top 100 in Books)

 #9 in Children's Pet Books (Books)
 #23 in Children's Dog Books (Books)
 #72 in Children's Beginner Readers






Customer Reviews:







4.9 out of 5 stars








1,043 ratings












",,https://www.amazon.com/Biscuits-Neighborhood-Fun-Filled-Stories-First/dp/006268826X/ref=sr_1_709?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-709
The Way Things Work Now,,"
A New York Times Bestseller Explainer-in-Chief David Macaulay updates the worldwide bestseller The New Way Things Work to capture the latest developments in the technology that most impacts our lives. Famously packed with information on the inner workings of everything from windmills to Wi-Fi, this extraordinary and humorous book both guides readers through the fundamental principles of machines, and shows how the developments of the past are building the world of tomorrow. This sweepingly revised edition embraces all of the latest developments, from touchscreens to 3D printer. Each scientific principle is brilliantly explained--with the help of a charming, if rather slow-witted, woolly mammoth. An illustrated survey of significant inventions closes the book, along with a glossary of technical terms, and an index. What possible link could there be between zippers and plows, dentist drills and windmills? Parking meters and meat grinders, jumbo jets and jackhammers, remote control and rockets, electric guitars and egg beaters? Macaulay explains them all. 

",David Macaulay,Ages: 12 years and up,4.8,846.0,$22.50,$35.00,Hardcover,2016-10-04,"



Product details





Publisher
:

HMH Books for Young Readers; Illustrated edition (October 4, 2016)


Language
:

English


Hardcover
:

400 pages


ISBN-10
:

0544824385


ISBN-13
:

978-0544824386


Reading age
:

12 years and up


Grade level
:

7 - 9


Item Weight
:

3.55 pounds


Dimensions
:

8.44 x 1.31 x 10.88 inches






Best Sellers Rank:

#5,896 in Books (See Top 100 in Books)

 #1 in Teen & Young Adult Machinery & Tools
 #1 in Teen & Young Adult Physics
 #1 in Teen & Young Adult How Things Work






Customer Reviews:







4.8 out of 5 stars








846 ratings












",in Teen & Young Adult Physics,https://www.amazon.com/Way-Things-Work-Now/dp/0544824385/ref=sr_1_710?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-710
The Proudest Blue: A Story of Hijab and Family,,"
THE INSTANT NEW YORK TIMES BESTSELLER!A powerful, vibrantly illustrated story about the first day of school--and two sisters on one's first day of hijab--by Olympic medalist and social justice activist Ibtihaj Muhammad. With her new backpack and light-up shoes, Faizah knows the first day of school is going to be special. It's the start of a brand new year and, best of all, it's her older sister Asiya's first day of hijab--a hijab of beautiful blue fabric, like the ocean waving to the sky. But not everyone sees hijab as beautiful, and in the face of hurtful, confusing words, Faizah will find new ways to be strong.Paired with Hatem Aly's beautiful, whimsical art, Olympic medalist Ibtihaj Muhammad and Morris Award finalist S.K. Ali bring readers an uplifting, universal story of new experiences, the unbreakable bond between siblings, and of being proud of who you are.

",Ibtihaj Muhammad,Ages: 4 - 8 years,4.9,1.2919999999999998,$15.78,$17.99,Hardcover,2019-09-10,"



Product details





Publisher
:

Little, Brown Books for Young Readers; Illustrated edition (September 10, 2019)


Language
:

English


Hardcover
:

40 pages


ISBN-10
:

0316519006


ISBN-13
:

978-0316519007


Reading age
:

4 - 8 years


Lexile measure
:

500L


Grade level
:

Preschool - 3


Item Weight
:

1.05 pounds


Dimensions
:

10.45 x 0.6 x 10.45 inches






Best Sellers Rank:

#3,242 in Books (See Top 100 in Books)

 #1 in Children's Muslim Fiction
 #18 in Children's Fiction on Social Situations
 #22 in Children's Prejudice & Racism Books






Customer Reviews:







4.9 out of 5 stars








1,292 ratings












",in Children's Muslim Fiction,https://www.amazon.com/Proudest-Blue-Story-Hijab-Family/dp/0316519006/ref=sr_1_711?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-711
Paper Crafts for Kids: 25 Cut-Out Activities for Kids Ages 4-8,,"
Get creative with cool paper crafts for kids ages 4-8! From an Origami Cat to a Whirling Windmill to Clothespin Pirate Puppets―there are tons of cool crafts that start with just scissors and a piece of paper. Bursting with a variety of colorful, ready-to-cut templates paired with easy-to-follow instructions, these paper crafts for kids ages 4-8 let you cut, fold, color, and get crafty anytime. Have a blast piecing together a Unicorn Jigsaw Puzzle, creating a magical Balancing Butterfly, or crafting a cool Owl Hat―all with just scissors, glue, and the paper provided. Some of the crafts for kids ages 4-8 like a Paper Roll Hedgehog or Envelope Scarecrows only need a few household materials you likely have on hand, limiting trips to the craft store. Happy crafting! This book of crafts for kids ages 4-8 includes: Cut it out―Get ready to practice scissor skills with 25 awesome ready-to-cut templates. Follow the leader―Stay on track from the first snip to the final fold with super simple instructions anyone can follow. Crafts in color―Cool, colorful illustrations appeal to kids and parents alike.Paper has never been so fun with these playful paper crafts for kids ages 4-8.

",Stefania Luca,Ages: 4 - 8 years,4.6,376.0,$9.89,$10.99,Paperback,2020-06-30,"



Product details





Publisher
:

Rockridge Press; Illustrated edition (June 30, 2020)


Language
:

English


Paperback
:

82 pages


ISBN-10
:

1647391075


ISBN-13
:

978-1647391072


Reading age
:

4 - 8 years


Grade level
:

1 - 2


Item Weight
:

9.9 ounces


Dimensions
:

8.5 x 0.23 x 11.02 inches






Best Sellers Rank:

#3,345 in Books (See Top 100 in Books)

 #3 in Children's Papercrafts Books
 #9 in School-Age Children Parenting
 #62 in Children's Arts, Music & Photography Books (Books)






Customer Reviews:







4.6 out of 5 stars








376 ratings












",,https://www.amazon.com/Paper-Crafts-Kids-Cut-Out-Activities/dp/1647391075/ref=sr_1_712?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-712
